date,n_stars,package
2014-11-16,2,hadley/dplyr
2014-11-17,2,hadley/dplyr
2014-11-18,2,hadley/dplyr
2014-11-19,2,hadley/dplyr
2014-11-20,1,hadley/dplyr
2014-11-21,1,hadley/dplyr
2014-11-22,1,hadley/dplyr
2014-11-23,2,hadley/dplyr
2014-11-24,3,hadley/dplyr
2014-11-25,1,hadley/dplyr
2014-11-26,2,hadley/dplyr
2014-12-01,2,hadley/dplyr
2014-12-03,1,hadley/dplyr
2014-12-04,1,hadley/dplyr
2014-12-05,1,hadley/dplyr
2014-12-06,1,hadley/dplyr
2014-12-07,1,hadley/dplyr
2014-12-08,1,hadley/dplyr
2014-12-09,2,hadley/dplyr
2014-12-10,4,hadley/dplyr
2014-12-11,3,hadley/dplyr
2014-12-12,3,hadley/dplyr
2014-12-13,1,hadley/dplyr
2014-12-14,1,hadley/dplyr
2014-12-16,2,hadley/dplyr
2014-12-17,2,hadley/dplyr
2014-12-18,4,hadley/dplyr
2014-12-21,1,hadley/dplyr
2014-12-22,1,hadley/dplyr
2014-12-23,3,hadley/dplyr
2014-12-25,3,hadley/dplyr
2014-12-26,2,hadley/dplyr
2014-12-29,2,hadley/dplyr
2014-12-30,1,hadley/dplyr
2015-01-03,2,hadley/dplyr
2015-01-05,1,hadley/dplyr
2015-01-06,2,hadley/dplyr
2015-01-07,2,hadley/dplyr
2015-01-10,3,hadley/dplyr
2015-01-11,3,hadley/dplyr
2015-01-13,1,hadley/dplyr
2015-01-14,2,hadley/dplyr
2015-01-15,2,hadley/dplyr
2015-01-16,1,hadley/dplyr
2015-01-17,3,hadley/dplyr
2015-01-18,1,hadley/dplyr
2015-01-19,1,hadley/dplyr
2015-01-20,1,hadley/dplyr
2015-01-22,2,hadley/dplyr
2015-01-23,1,hadley/dplyr
2015-01-24,2,hadley/dplyr
2015-01-25,3,hadley/dplyr
2015-01-26,2,hadley/dplyr
2015-01-27,1,hadley/dplyr
2015-01-28,1,hadley/dplyr
2015-01-29,1,hadley/dplyr
2015-01-31,2,hadley/dplyr
2015-02-01,2,hadley/dplyr
2015-02-04,1,hadley/dplyr
2015-02-05,3,hadley/dplyr
2015-02-06,1,hadley/dplyr
2015-02-07,2,hadley/dplyr
2015-02-08,3,hadley/dplyr
2015-02-09,2,hadley/dplyr
2015-02-10,2,hadley/dplyr
2015-02-11,2,hadley/dplyr
2015-02-12,1,hadley/dplyr
2015-02-13,1,hadley/dplyr
2015-02-15,2,hadley/dplyr
2015-02-18,1,hadley/dplyr
2015-02-19,1,hadley/dplyr
2015-02-20,3,hadley/dplyr
2015-02-22,1,hadley/dplyr
2015-02-23,2,hadley/dplyr
2015-02-24,8,hadley/dplyr
2015-02-25,1,hadley/dplyr
2015-02-26,3,hadley/dplyr
2015-02-28,1,hadley/dplyr
2015-03-01,2,hadley/dplyr
2015-03-02,3,hadley/dplyr
2015-03-03,3,hadley/dplyr
2015-03-04,3,hadley/dplyr
2015-03-06,1,hadley/dplyr
2015-03-07,1,hadley/dplyr
2015-03-08,2,hadley/dplyr
2015-03-09,1,hadley/dplyr
2015-03-10,3,hadley/dplyr
2015-03-11,1,hadley/dplyr
2015-03-12,3,hadley/dplyr
2015-03-13,1,hadley/dplyr
2015-03-14,1,hadley/dplyr
2015-03-16,1,hadley/dplyr
2015-03-18,2,hadley/dplyr
2015-03-19,1,hadley/dplyr
2015-03-20,2,hadley/dplyr
2015-03-21,1,hadley/dplyr
2015-03-22,3,hadley/dplyr
2015-03-23,2,hadley/dplyr
2015-03-24,1,hadley/dplyr
2015-03-25,1,hadley/dplyr
2015-03-26,2,hadley/dplyr
2015-03-27,1,hadley/dplyr
2015-03-28,1,hadley/dplyr
2015-03-29,3,hadley/dplyr
2015-03-30,1,hadley/dplyr
2015-03-31,1,hadley/dplyr
2015-04-01,3,hadley/dplyr
2015-04-03,1,hadley/dplyr
2015-04-04,2,hadley/dplyr
2015-04-06,1,hadley/dplyr
2015-04-07,2,hadley/dplyr
2015-04-09,1,hadley/dplyr
2015-04-10,2,hadley/dplyr
2015-04-11,1,hadley/dplyr
2015-04-12,2,hadley/dplyr
2015-04-13,1,hadley/dplyr
2015-04-14,1,hadley/dplyr
2015-04-15,1,hadley/dplyr
2015-04-16,1,hadley/dplyr
2015-04-19,1,hadley/dplyr
2015-04-20,4,hadley/dplyr
2015-04-22,1,hadley/dplyr
2015-04-24,1,hadley/dplyr
2015-04-25,2,hadley/dplyr
2015-04-26,1,hadley/dplyr
2015-04-28,1,hadley/dplyr
2015-04-29,2,hadley/dplyr
2015-04-30,1,hadley/dplyr
2015-05-01,2,hadley/dplyr
2015-05-02,1,hadley/dplyr
2015-05-03,2,hadley/dplyr
2015-05-04,3,hadley/dplyr
2015-05-05,1,hadley/dplyr
2015-05-07,1,hadley/dplyr
2015-05-08,1,hadley/dplyr
2015-05-09,1,hadley/dplyr
2015-05-10,1,hadley/dplyr
2015-05-11,1,hadley/dplyr
2015-05-12,1,hadley/dplyr
2015-05-15,1,hadley/dplyr
2015-05-19,3,hadley/dplyr
2015-05-20,1,hadley/dplyr
2015-05-21,1,hadley/dplyr
2015-05-24,2,hadley/dplyr
2015-05-26,4,hadley/dplyr
2015-05-27,2,hadley/dplyr
2015-05-30,1,hadley/dplyr
2015-06-02,2,hadley/dplyr
2015-06-03,1,hadley/dplyr
2015-06-04,1,hadley/dplyr
2015-06-06,3,hadley/dplyr
